Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
340-33,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.078836077,1.17419911,0.109409059,1.085762762,1789.59607,19.77882572,1813.118736,21.03788665,140.7657405,182.9039476,0.28159,0.140795,0.001177,0.000012,,-3.38,2.626
340-34,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.256167625,1.34788145,0.10201467,1.383096899,1661.097374,25.60501436,1726.467095,22.95185086,35.61347313,72.22459244,0.28168,0.14084,0.000967,0.000043,,-2.76,2.488
340-35,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.401097568,1.067864614,0.108238697,0.552123995,1769.980919,10.082199,1650.048104,17.1553068,222.7382542,257.5937203,0.28173,0.140865,0.001225,0.00002,,1.1,2.325
340-36,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.182212165,1.223236952,0.106496677,0.722211249,1740.297841,13.23694489,1761.571174,21.13738738,367.2982896,308.2552026,0.28171,0.140855,0.0006889,0.0000099,,0.37,2.349
340-37,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.872967784,1.134837161,0.116538738,0.726279132,1903.798247,13.04832208,1925.386081,21.69958129,117.5008808,123.2042629,0.28159,0.140795,0.001017,0.000036,,-0.67,2.541
340-38,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.259704154,1.115478498,0.106018231,0.681641268,1732.040857,12.5062825,1724.01834,18.80257271,121.00771,213.7860097,0.2818,0.1409,0.0010123,0.0000088,,3.01,2.174
340-39,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.174632698,1.09281459,0.108239297,0.604646286,1769.99104,11.04128165,1764.69421,18.8889628,185.1134479,211.5160831,0.28172,0.14086,0.00203,0.00012,,-0.21,2.409
340-4,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.94873661,1.33366952,0.105342708,0.785783974,1720.304348,14.43827584,1432.356677,18.48737535,1064.37459,543.6620837,,,,,,,
340-40,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.16003792,1.37915186,0.108437048,1.503498523,1773.323511,27.44364399,1772.266442,24.11374507,96.7580013,112.4671605,0.28183,0.140915,0.000687,0.000011,,5.37,2.055
340-41,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.831671014,1.271180615,0.102261767,1.184143059,1665.574798,21.90928127,1479.868244,18.28879916,156.2213682,543.8722939,,,,,,,
340-42,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.194471046,1.195875914,0.105814573,0.832024066,1728.512217,15.27215716,1755.653332,20.61599994,190.5160763,316.8675007,0.28173,0.140865,0.001369,0.000027,,0.03,2.362
340-43,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,4.137023071,1.174395295,0.088874434,0.983896874,1401.454878,18.8525875,1395.206421,15.86503198,75.78361684,101.3256266,0.28232,0.14116,0.001197,0.00003,,14.03,1.211
340-44,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.668142317,1.21043061,0.098408365,1.074961116,1594.181021,20.07316557,1550.432664,18.26145689,178.3546362,129.8764627,0.28215,0.141075,0.002392,0.000053,,10.92,1.56
340-45,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,4.220469687,1.205890102,0.108212322,0.820432792,1769.535878,14.98254586,1338.637318,15.62139186,894.4128246,490.7248524,,,,,,,
