Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
340-69,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.998016977,1.289070896,0.112766371,0.745061678,1844.469523,13.48165158,1855.58369,23.59215087,203.7250737,357.6901855,0.28187,0.140935,0.002038,0.000012,,6.7,2.024
340-7,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.697971497,1.048047889,0.09525478,0.698885762,1533.117042,13.15568576,1542.925988,15.70280564,222.7689746,199.9269297,0.28218,0.14109,0.002393,0.000011,,10.7,1.527
340-70,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.240925421,1.395542225,0.105601603,0.779890537,1724.813284,14.32187121,1733.586413,23.6683801,214.5857027,383.4877473,0.2818,0.1409,0.001817,0.000045,,1.91,2.239
340-71,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.237732969,1.40622141,0.105890754,0.446837234,1729.833126,8.200529664,1735.085029,23.82950814,204.9833412,456.3323626,0.28189,0.140945,0.002241,0.000019,,4.72,2.063
340-72,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.761671491,1.427071417,0.094424896,1.46516408,1516.627394,27.64041445,1519.647742,21.11219704,31.43039647,71.15311441,0.28225,0.141125,0.001794,0.000029,,13.45,1.337
340-73,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,4.411295149,1.564828223,0.108211066,0.465652647,1769.514684,8.503658724,1282.609701,19.35085287,1021.868685,741.2862923,,,,,,,
340-74,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.220627723,1.062841771,0.106484044,0.565490744,1740.080408,10.36479744,1743.159265,18.12449584,40.57776976,279.5332204,0.28187,0.140935,0.001374,0.000047,,5.25,2.037
340-75,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.635993696,1.197638166,0.098378012,0.679007451,1593.604951,12.68032094,1563.76252,18.17624164,349.6816798,472.3876845,,,,,,,
340-76,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.374621089,1.136947975,0.102719496,0.906540011,1673.833657,16.75534823,1673.003688,18.58285917,151.0288381,110.521307,0.28189,0.140945,0.001512,0.000019,,4.36,2.043
340-78,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.157371895,1.119382733,0.108379442,0.75628919,1772.353498,13.80634892,1773.686484,19.48131227,87.03285873,156.4275511,0.28183,0.140915,0.001111,0.000022,,4.84,2.088
340-79,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.529534209,1.504649166,0.097944505,1.419314655,1585.353199,26.5339469,1608.078649,23.63684657,73.98103089,155.2398448,0.2821,0.14105,0.000843,0.000012,,10.61,1.573
340-8,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.121622127,1.163552628,0.112000398,1.042413535,1832.127407,18.89045749,1786.428009,20.47100994,178.1430629,197.4626139,0.28177,0.140885,0.001037,0.000013,,4.12,2.18
340-81,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.413399815,1.222457562,0.107285204,0.870391066,1753.807207,15.92596818,1646.035021,19.62332144,233.5488434,378.726505,0.28182,0.14091,0.001574,0.000023,,3.53,2.157
340-82,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.596448401,1.3269597,0.09735605,0.757875529,1574.079043,14.1893163,1581.54466,20.38925456,310.2011786,434.0319302,0.28221,0.141105,0.001018,0.000044,,14.08,1.34
340-83,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.998951935,1.57307255,0.110731338,1.262988359,1811.450538,22.94555452,1855.080986,28.91476889,63.83361285,152.7234164,0.2817,0.14085,0.001004,0.000022,,1.22,2.35
340-84,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.105192263,1.079936728,0.108444461,0.606931068,1773.448283,11.07825683,1799.690213,19.11185154,139.6544816,201.4500169,0.28183,0.140915,0.000864,0.000021,,5.16,2.068
340-85,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.875057005,1.142476972,0.112844281,0.786900571,1845.719159,14.23655441,1924.17645,21.92575965,63.17274564,148.502566,0.2818,0.1409,0.001088,0.000026,,5.42,2.107
340-86,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.083056586,1.358831762,0.109884826,0.736157924,1797.496534,13.39720083,1810.954831,24.19141088,321.5599299,320.9508427,0.28193,0.140965,0.001134,0.000024,,8.92,1.845
340-87,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.86942088,1.138464473,0.097181175,0.72791824,1570.71227,13.63445625,1474.369977,16.25827283,678.1634561,537.770491,0.28212,0.14106,0.002541,0.000027,,9.21,1.652
340-88,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.178744897,1.18336756,0.109486454,0.862354769,1790.884131,15.70661451,1759.99498,20.43107401,108.4069328,151.3790473,0.28176,0.14088,0.000705,0.000012,,3.25,2.204
340-89,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.389153156,1.898438944,0.108777322,1.204140346,1779.040344,21.96385872,1654.698305,30.62312495,259.1399612,208.8866935,0.28167,0.140835,0.000969,0.000017,,-0.52,2.436
340-9,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,5.176418835,1.421550485,0.078475514,1.690611401,1158.937304,33.52785259,1137.558375,15.67212041,135.9946244,200.7016655,0.28226,0.14113,0.002214,0.000011,,5.4,1.564
340-90,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.234335682,1.310999042,0.106921885,0.828357098,1747.597885,15.16858815,1735.44495,22.26323579,772.2294226,387.2474582,0.28191,0.140955,0.001477,0.000038,,6.71,1.949
340-91,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.324916326,1.247570055,0.154932182,0.942880153,2401.088946,16.0310567,2283.877224,29.5785388,55.29699248,68.69752253,0.28115,0.140575,0.001372,0.000032,,-5.84,3.251
340-92,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,5.265216132,1.115028947,0.076678507,0.920662128,1112.840749,18.38275,1120.972704,12.07935198,163.4795135,186.6779102,0.282,0.141,0.0008089,0.0000023,,-3.11,2.094
340-93,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.250963014,1.249013626,0.107219079,0.760827758,1752.679024,13.92319155,1726.208814,21.08316813,451.3062325,461.6728139,0.28185,0.140925,0.00124,0.000014,,4.97,2.065
340-94,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,4.208310158,1.11169087,0.086002054,0.639952286,1338.228872,12.37007113,1374.338616,14.78564159,186.9133339,249.3253464,0.28225,0.141125,0.003964,0.000085,,7.69,1.571
340-95,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,4.377173889,1.123374208,0.086010292,0.882836856,1338.414017,17.06451017,1325.613265,14.39657731,566.5267865,332.2309863,0.28247,0.141235,0.005086,0.000047,,14.49,1.132
340-96,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.159709387,1.145378774,0.108182214,0.795146461,1769.027699,14.52168795,1772.539279,19.92609153,132.1864053,153.401695,0.28176,0.14088,0.000608,0.000019,,2.88,2.211
340-97,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.125064354,1.068039016,0.107013185,0.669563265,1749.160689,12.25842068,1789.696983,18.81234028,117.6377295,149.5634775,0.28184,0.14092,0.0008326,0.0000068,,5.02,2.059
340-98,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.564546471,1.347428299,0.102782079,1.139981046,1674.959308,21.06695862,1586.24649,20.82084899,257.5861206,354.0257932,0.28207,0.141035,0.001219,0.000015,,11.1,1.61
340-99,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.570502042,1.214079658,0.099444291,0.595987896,1613.710578,11.1009117,1589.645647,18.73803013,140.3405573,589.7980431,0.28204,0.14102,0.002864,0.000027,,6.92,1.833
