Analysis,Reference,Sample_number,Latitude,Longitude,Formation,Final207_235,Final207_235_Prop2SE,Final206_238,Final206_238_Prop2SE,ErrorCorrelation_6_38vs7_35,U238Pb206,U238Pb206_error_2s_abs,Pb207Pb206,Pb207Pb206_error_2s_abs,ErrorCorrelation_38_6vs7_6,FinalAge207_235,FinalAge207_235_Prop2SE,U238Pb206_age,U238Pb206_age_error_2s,FinalAge207_206,Pb207Pb206_age_error_2s,Approx_U_PPM,Approx_Th_PPM,Approx_Pb_PPM,Final_U_Th_Ratio,Si,P,Ti_ppm_m47,Ti,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg202_CPS,Pb_ppm_m204,Pb_ppm_m206,Pb_ppm_m207,Pb_ppm_m208,Th,U,Hf176Hf177,Hf176Hf177_error_2s,Lu176Hf177,U/Pb AGE,Hf Chur (t),Hf DM (t),Hf NC(t),Hfi,epsilon,2s,T(DM)_crustal,T(NC)_crustal
MK4_HQ_06_7,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.77,0.15,0.2856,0.0067,0.3714,3.501401,0.0821407,0.0946,0.0036,0.46323,1583,33,1618,33,1517,74,140.8,110.8,816,1.252,139900,265,692,7.6,816,Below LOD,23.34,0.024,0.62,1.7,0.239,12.96,4.96,66.4,26.82,131.7,28.33,279.6,56.4,10420,98,Below LOD,156.6,16.22,15.89,110.4,143.9,,,,,,,,,,,,
MK4_HQ_06_70,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.976,0.16,0.2818,0.0061,0.37624,3.548616,0.07681532,0.1005,0.0035,0.38849,1627,32,1600,31,1641,66,144.6,150.1,1076,0.957,136300,248,675,9,813,0.031,28.33,0.081,1.58,3.42,1.06,16.84,5.36,69.7,26.56,130.5,27.48,270.8,54.8,9410,107,Below LOD,157.3,17.48,21.25,143.3,144.8,,,,,,,,,,,,
MK4_HQ_06_71,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.583,0.15,0.2529,0.0056,0.43026,3.954132,0.0875569,0.1019,0.0035,0.43505,1545,33,1452,29,1656,65,221.3,184.6,822,1.196,138400,339,676,11.9,720,0.19,13.24,0.307,2.49,3.9,1.2,20.88,6.34,71.2,25.4,110.8,22.71,211.7,38.7,10530,88,Below LOD,242.4,26.9,18.2,201.2,251.4,,,,,,,,,,,,
MK4_HQ_06_72,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.71,0.16,0.2753,0.0067,0.37113,3.632401,0.08840206,0.0968,0.0039,0.41395,1579,36,1567,34,1547,77,188.8,145.8,995,1.296,140800,285,682,11.2,842,0.058,21.59,0.112,1.52,2.55,0.413,14.84,5.59,70.5,27.47,135.5,28.64,280.1,54.9,10130,127,3,204.8,21.54,19.37,140.9,192,,,,,,,,,,,,
MK4_HQ_06_73,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.93,0.17,0.2818,0.0062,0.35497,3.548616,0.07807459,0.1005,0.004,0.40995,1624,35,1604,33,1622,74,120,128.5,921,0.913,134500,349,681,8.2,1464,0.054,31.72,0.177,2.7,6.11,2.14,32.1,10.7,131.4,49.7,231.1,46.9,460,89.4,8370,120,2.1,128.8,13.98,18.12,125.7,119,,,,,,,,,,,,
MK4_HQ_06_74,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.917,0.16,0.2764,0.0061,0.35462,3.617945,0.07984611,0.1019,0.0036,0.37585,1622,32,1575,30,1648,65,232.5,237.6,1601,0.973,134100,312,672,Below LOD,1090,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,94.5,Below LOD,162.6,Below LOD,339.9,68.3,10180,71,Below LOD,258.8,Below LOD,Below LOD,239.1,243.1,,,,,,,,,,,,
MK4_HQ_06_75,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,4.09,0.18,0.2906,0.0066,0.23755,3.441156,0.07815427,0.1016,0.004,0.45337,1651,36,1644,33,1644,72,86.1,60.2,450,1.421,132400,132,681,7.7,616,Below LOD,4.65,0.031,0.98,2.19,0.279,13.76,4.46,55.2,20.65,91.6,18.48,167.4,32.92,8840,141,2.1,96.7,10.67,9.15,58.3,87.4,,,,,,,,,,,,
MK4_HQ_06_76,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.761,0.16,0.2829,0.0064,0.33845,3.534818,0.0799676,0.096,0.0035,0.48514,1588,34,1605,32,1542,67,121.6,97.9,695,1.228,131700,259,674,10.5,805,Below LOD,24.81,0.042,0.85,2.17,0.462,14.89,5.36,67.7,26.46,125.2,26.01,251.6,50.24,9630,117,3.6,131.8,13.94,13.88,95.5,122.7,,,,,,,,,,,,
MK4_HQ_06_77,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.77,0.18,0.2823,0.0069,0.42922,3.542331,0.08658194,0.0952,0.0041,0.27997,1588,39,1602,35,1525,83,62.2,57.7,406,1.077,131300,324,691,14.3,650,0.73,14.6,0.24,2.6,2.45,0.287,12.01,4.24,53.8,21.53,99.3,21.06,209.8,41.67,9450,139,2.9,70.6,7.37,8.43,57.9,66.1,,,,,,,,,,,,
MK4_HQ_06_78,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.669,0.16,0.2806,0.0074,0.24175,3.563792,0.09398453,0.0976,0.0041,0.43241,1574,35,1593,37,1565,78,86.3,78.4,531,1.094,138700,201,703,34,664,Below LOD,23.7,Below LOD,Below LOD,2.28,0.65,12.85,4.37,55,22.1,104.8,22.2,219,44.3,8960,173,2.4,92.9,10.09,10.77,77.7,89,0.281685486,4.63E-05,0.00198783,1593,0.281771786,0.282092041,0.282018134,0.281625543,-5.190137702,1.621634067,2.601989419,2.443396589
