Analysis,Reference,Sample_number,Latitude,Longitude,Formation,Final207_235,Final207_235_Prop2SE,Final206_238,Final206_238_Prop2SE,ErrorCorrelation_6_38vs7_35,U238Pb206,U238Pb206_error_2s_abs,Pb207Pb206,Pb207Pb206_error_2s_abs,ErrorCorrelation_38_6vs7_6,FinalAge207_235,FinalAge207_235_Prop2SE,U238Pb206_age,U238Pb206_age_error_2s,FinalAge207_206,Pb207Pb206_age_error_2s,Approx_U_PPM,Approx_Th_PPM,Approx_Pb_PPM,Final_U_Th_Ratio,Si,P,Ti_ppm_m47,Ti,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg202_CPS,Pb_ppm_m204,Pb_ppm_m206,Pb_ppm_m207,Pb_ppm_m208,Th,U,Hf176Hf177,Hf176Hf177_error_2s,Lu176Hf177,U/Pb AGE,Hf Chur (t),Hf DM (t),Hf NC(t),Hfi,epsilon,2s,T(DM)_crustal,T(NC)_crustal
MK6_HQ_01_1,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.056,0.16,0.2846,0.0052,0.26434,3.513703,0.06419978,0.1015,0.0035,0.39223,1643,32,1614,26,1661,64,174.4,105.7,778,1.646,127000,221,627,8.7,678,Below LOD,9.11,0.037,0.77,1.64,0.192,13.01,4.61,57.2,22.39,106.9,21.96,203.6,40.27,10150,48,Below LOD,196.2,21.93,15.01,105.6,181.6,,,,,,,,,,,,
MK6_HQ_01_10,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.648,0.16,0.2802,0.0056,0.47065,3.568879,0.07132664,0.0949,0.0036,0.23392,1562,35,1592,28,1516,70,136.2,107.6,776,1.266,136300,245,661,Below LOD,765,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,61.4,Below LOD,122.2,Below LOD,266.6,Below LOD,10650,93,Below LOD,141.3,Below LOD,Below LOD,101.2,134.4,,,,,,,,,,,,
MK6_HQ_01_100,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.884,0.15,0.2822,0.0055,0.32941,3.543586,0.06906351,0.0993,0.0033,0.42937,1609,32,1602,28,1619,62,379.8,236.6,1643,1.581,137500,550,634,7.3,1490,2.48,30.1,1.06,7.3,5.28,1.33,25.9,9.02,117.6,47.7,230.6,51.1,528,107.7,8720,60,Below LOD,397.4,43.4,31.62,220,370.3,,,,,,,,,,,,
MK6_HQ_01_101,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.889,0.15,0.2939,0.0061,0.26926,3.402518,0.07062048,0.0968,0.0034,0.50596,1612,33,1660,30,1555,68,157.9,122.2,916,1.288,135300,261,651,9.2,796,Below LOD,20.78,Below LOD,0.75,2.08,0.306,12.83,4.99,64.2,25.61,123.4,26.71,266.6,53.16,10510,72,Below LOD,174.2,18.76,17.71,115.5,157.5,,,,,,,,,,,,
MK6_HQ_01_102,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.95,0.17,0.2883,0.007,0.58122,3.468609,0.08421874,0.0999,0.0038,0.11687,1623,36,1632,35,1633,69,106.7,110.5,785,0.958,134000,297,648,9,964,Below LOD,25.61,0.062,1.33,2.79,0.946,17.29,5.87,79,31.62,155.2,33.89,343.7,70.9,9200,94,Below LOD,111.8,12.11,15.23,102,104.7,,,,,,,,,,,,
MK6_HQ_01_103,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.23,0.18,0.2937,0.0055,0.39948,3.404835,0.06376095,0.1042,0.0041,0.080634,1675,35,1662,27,1690,71,121.8,150.9,1130,0.8032,134000,214,644,2.68,681,Below LOD,30.01,0.0209,0.54,1.78,0.291,11.12,3.88,52.45,21.84,107.2,24.35,254.8,53.93,10350,88,Below LOD,131.9,15,21.51,136.7,117.4,,,,,,,,,,,,
MK6_HQ_01_104,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.689,0.14,0.282,0.0055,0.39532,3.546099,0.06916151,0.0952,0.0032,0.36093,1568,30,1601,27,1538,63,302,284.8,1927,1.053,136000,392,650,8.4,1199,0.089,26.35,0.229,2.97,4.72,0.773,25,8.42,102.7,39.36,185.5,38.6,374.8,74.1,10160,57,Below LOD,302.8,31.79,35.78,255.1,285.5,,,,,,,,,,,,
MK6_HQ_01_105,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.143,0.17,0.2952,0.0057,0.65766,3.387534,0.0654097,0.1027,0.0033,0.085554,1662,33,1667,29,1668,59,327,214,1569,1.521,134000,208,640,7.6,734,Below LOD,17.76,0.039,0.77,2.1,Below LOD,13.86,5.01,63.2,24,111.5,22.99,214.9,40.84,10970,34,Below LOD,339.9,38.03,28.57,188.7,302.6,,,,,,,,,,,,
MK6_HQ_01_106,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.73,0.16,0.2856,0.0072,0.56227,3.501401,0.0882706,0.0971,0.0034,0.35374,1578,35,1618,36,1565,68,128.1,86.5,602,1.442,134100,490,647,13,1085,Below LOD,19.63,0.057,1.3,2.99,0.54,18.6,6.95,90.5,36.1,172,38.2,379,73.9,10590,73,Below LOD,130.1,14.11,11.72,80,124.2,,,,,,,,,,,,
MK6_HQ_01_107,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.164,0.17,0.2891,0.007,0.44428,3.459011,0.08375329,0.1041,0.0039,0.33815,1669,33,1636,35,1695,70,99.8,78.8,581,1.257,131900,229,639,9.9,866,Below LOD,19.83,0.0364,0.8,2.63,0.572,15.78,5.71,74.4,28.79,135.4,28.55,267.6,52.61,9870,68,Below LOD,103.8,11.91,11.04,72.2,96,,,,,,,,,,,,
MK6_HQ_01_108,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.76,0.17,0.2838,0.0067,0.088773,3.523608,0.08318596,0.0958,0.0041,0.48106,1583,35,1613,34,1550,83,77.37,76.1,533,1.02,135500,262,653,8.2,926,Below LOD,16.63,0.048,1.18,2.94,0.778,16.32,5.62,73.7,29.66,149,32.09,319.5,67.2,8960,90,Below LOD,82.6,8.71,10.48,72,77.2,,,,,,,,,,,,
MK6_HQ_01_109,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.28,0.098,0.2076,0.0045,0.32253,4.816956,0.1044138,0.0801,0.003,0.29738,1206,29,1218,23,1191,73,153.2,110.8,600,1.382,133200,211,657,13.9,565,Below LOD,11.37,0.039,0.93,1.75,0.2,10.81,3.78,48.6,18.13,87.7,17.9,178.1,34.59,10060,57,Below LOD,110.5,9.7,11.04,96.3,141.5,,,,,,,,,,,,
MK6_HQ_01_11,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.21,0.19,0.275,0.008,0.77614,3.636364,0.1057851,0.1101,0.0036,0.07747,1676,39,1569,41,1802,63,293.5,197,824,1.529,140100,978,680,22.7,2244,0.371,10.1,1.31,13.4,17.5,5.07,75.2,19.6,209,72.7,326.9,64.7,609,116.2,11520,113,Below LOD,294.3,35.93,14.71,185,283.6,,,,,,,,,,,,
MK6_HQ_01_12,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.99,0.17,0.2885,0.0061,0.22003,3.466205,0.0732889,0.1,0.0041,0.38659,1634,36,1633,30,1617,79,102.9,131.9,979,0.772,135100,256,677,11,1646,0.025,26.06,0.314,5.66,9.05,2.56,41.6,12.86,152.7,54.5,244.3,48.2,456,88.7,8550,30,Below LOD,111.3,12.17,17.85,125.4,102,,,,,,,,,,,,
MK6_HQ_01_13,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.178,0.17,0.3007,0.0061,0.37992,3.325574,0.06746259,0.1017,0.0037,0.35764,1676,32,1694,30,1660,67,137.6,99.1,766,1.385,134800,186,656,9.6,469.3,Below LOD,15.94,Below LOD,0.7,1.2,Below LOD,8.31,3.08,39.7,15.15,72.6,14.88,143.7,28.3,10040,65,Below LOD,151.2,17.08,13.95,92.6,133.5,,,,,,,,,,,,
MK6_HQ_01_14,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,5.06,0.22,0.3288,0.0084,0.62276,3.041363,0.07769904,0.1116,0.0041,0.16331,1826,36,1836,42,1814,67,107.2,57.5,469,1.861,136400,186,662,12.2,385.1,0.021,5.25,0.055,0.58,1.42,0.256,7.58,2.47,31.71,12.52,58.7,12.43,121,23.47,9950,119,Below LOD,128.2,15.67,8.37,52.1,101.6,,,,,,,,,,,,
MK6_HQ_01_15,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.03,0.17,0.2907,0.0054,0.36833,3.439972,0.06390042,0.1011,0.0036,0.26214,1640,35,1645,27,1645,66,171.9,93.5,725,1.815,136100,236,669,7,624,Below LOD,7.54,0.0198,0.572,1.74,0.135,10.62,4.05,53.2,20.8,97.5,20.49,194.2,37.95,10360,86,Below LOD,182.9,20.07,12.82,86.6,167.2,,,,,,,,,,,,
MK6_HQ_01_16,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.802,0.18,0.3212,0.0061,0.29628,3.113325,0.05912604,0.1078,0.0035,0.51072,1784,32,1795,30,1764,58,261.8,148.6,1233,1.74,136500,186,645,2.86,717,0.098,22.21,0.095,1.09,2.23,0.471,13.08,4.34,57.8,22.63,112,24.68,250.1,51.2,10610,60,2.6,304.9,36.12,22.09,136,251.9,,,,,,,,,,,,
MK6_HQ_01_17,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.723,0.14,0.2768,0.0056,0.41862,3.612717,0.07308965,0.0971,0.0032,0.44285,1575,31,1575,28,1563,62,296.6,217.8,1547,1.346,133900,355,634,3.9,1018,0.67,28.05,0.23,2.49,2.63,0.318,15.67,6.14,82.4,33.5,166.1,35.93,348.7,69.9,11090,32,2.2,289.3,31.05,27.33,195.6,278.7,,,,,,,,,,,,
MK6_HQ_01_18,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.649,0.15,0.2772,0.0058,0.50961,3.607504,0.07548168,0.095,0.0036,0.17562,1560,34,1580,31,1523,71,185.2,146.4,1074,1.261,135800,318,667,7.9,1073,0.0136,16.43,0.055,0.96,2.96,0.387,17.22,6.6,88.5,35.63,170.7,36.45,358,70.7,11000,38,Below LOD,187.1,19.54,19.3,135,178.5,,,,,,,,,,,,
MK6_HQ_01_19,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.71,0.16,0.2762,0.0055,0.22495,3.620565,0.07209669,0.0981,0.004,0.25568,1574,34,1574,28,1578,77,105,85.1,636,1.229,131600,348,652,11.5,795,1.72,15.99,0.32,2.13,2.61,0.375,14.54,5.16,68.7,25.9,123.5,26.18,250,49.11,9780,109,Below LOD,102.7,11.12,11.25,76.2,99.2,0.281932775,3.06E-05,0.001250656,1574,0.281784049,0.282106056,0.28203193,0.281895518,3.955836001,1.070870994,2.031984666,1.871183866
MK6_HQ_01_2,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.692,0.13,0.1966,0.0061,0.84796,5.08647,0.1578203,0.0982,0.0032,0.037141,1324,35,1156,33,1584,61,413,538,1337,0.751,133900,732,640,31.4,2020,1.06,39.5,4.38,45.6,55.3,19.3,187,38.2,264,62.2,208,36.8,321,60.7,10860,66,2.9,312.1,32.94,25.52,528,415,,,,,,,,,,,,
MK6_HQ_01_20,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.75,0.14,0.2774,0.0057,0.14362,3.604903,0.07407334,0.0982,0.0036,0.58135,1580,31,1578,29,1584,69,143.1,218.3,1623,0.6467,134000,538,659,18.2,2378,0.113,21.77,0.418,6.59,11.44,2.02,59.4,18.54,219.8,79.6,345.2,64.7,581,109.3,9020,40,Below LOD,143.2,15.36,28.5,197.8,135.5,,,,,,,,,,,,
MK6_HQ_01_21,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.81,0.2,0.3155,0.0073,0.37291,3.169572,0.07333717,0.1107,0.0041,0.42843,1788,37,1767,36,1804,66,109.5,55.66,461,1.95,132300,357,652,8.3,711,Below LOD,3.94,0.037,0.87,2.25,0.452,15.33,5.04,62.4,23.52,110,22.46,214.3,42.77,9490,50,Below LOD,130.3,15.84,8.28,52.81,109.1,,,,,,,,,,,,
MK6_HQ_01_22,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.747,0.15,0.2744,0.0055,0.31678,3.644315,0.07304567,0.0983,0.0036,0.3702,1579,32,1562,28,1587,67,223.2,118.4,877,1.86,136100,861,663,6.3,1879,0.294,16.39,0.351,3.74,5.93,1.61,32.2,11.61,148.6,59.9,293.4,65.6,646,131.7,10950,77,Below LOD,230.7,24.89,15.99,111.9,219.9,,,,,,,,,,,,
MK6_HQ_01_23,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.742,0.14,0.2804,0.0055,0.32126,3.566334,0.06995305,0.098,0.0034,0.41868,1582,31,1593,28,1577,65,146.6,125.4,933,1.171,134500,264,652,9.9,847,Below LOD,30.83,0.056,1.11,2.62,0.594,16.5,5.59,70.2,27.88,133.2,28.24,280.2,56.2,9880,41,Below LOD,153.2,16.31,16.84,117.5,144.8,,,,,,,,,,,,
MK6_HQ_01_24,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.467,0.15,0.2612,0.0097,0.32801,3.828484,0.1421757,0.0978,0.0037,0.46526,1515,36,1505,43,1567,72,114.2,89,527,1.266,139500,343,678,16.6,787,0.071,12.44,0.311,3.11,5.04,1.45,23.2,7.17,74.4,25.76,114.5,23.88,231.1,45.39,9320,75,Below LOD,116.1,12.12,9.94,87,117.7,,,,,,,,,,,,
MK6_HQ_01_25,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,6.27,0.29,0.3724,0.0091,0.46802,2.685285,0.06561786,0.121,0.0047,0.23263,2008,41,2039,43,1979,67,52.6,15.44,142.7,3.441,132600,144,656,5.5,307.6,Below LOD,1.63,Below LOD,0.62,1.46,Below LOD,7.63,2.467,28.85,9.95,44,8.85,84.6,16.59,8740,90,Below LOD,74,9.65,2.64,14.31,51.8,0.281761486,2.65E-05,0.00092337,2039,0.281482676,0.28176163,0.281692886,0.281725697,8.633588003,0.927840529,2.1163583,1.968265517
MK6_HQ_01_26,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.24,0.19,0.2916,0.007,0.46728,3.429355,0.08232334,0.1051,0.004,0.42308,1686,39,1648,35,1714,75,122.4,80.4,658,1.565,142200,363,665,17.5,865,0.6,5.43,0.197,1.94,3.58,0.301,18.01,6.25,75.2,28.32,126.7,25.47,244.3,47.61,10380,44,Below LOD,134.5,15.67,11.94,76.3,122.3,,,,,,,,,,,,
MK6_HQ_01_27,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.33,0.19,0.2586,0.0079,0.15111,3.866976,0.1181327,0.0937,0.0051,0.43956,1479,43,1482,41,1479,100,55.4,51.3,366,1.073,135300,171,660,3.52,657,Below LOD,22.59,0.121,1.98,3.22,1.34,14.82,4.43,50.8,20.63,98.8,22.03,238.7,51.2,8150,62,Below LOD,53.6,5.51,6.73,48.8,55.5,,,,,,,,,,,,
MK6_HQ_01_28,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.655,0.15,0.2706,0.0056,0.22633,3.695492,0.07647728,0.0979,0.0037,0.41929,1558,33,1546,29,1575,74,127.1,154.2,1095,0.824,137900,484,658,15.2,1974,0.059,53.2,0.237,4.66,9.1,2.48,49.1,15.39,180.6,65.8,284.7,56.8,520.9,100.1,9240,54,Below LOD,129.4,13.7,19.81,143.9,126.2,,,,,,,,,,,,
MK6_HQ_01_29,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.134,0.16,0.2904,0.0055,0.17622,3.443526,0.0652183,0.102,0.0036,0.50152,1659,31,1643,27,1658,63,185.5,129.7,999,1.409,137800,235,659,8.7,628,Below LOD,16.11,0.0199,0.83,1.9,0.269,13.16,4.27,55.2,21.07,95.4,19.47,186.5,36.16,9830,73,Below LOD,200.1,22.43,18.11,120.5,180,0.282058852,4.52E-05,0.002488706,1643,0.281739494,0.282055136,0.281981806,0.281981413,8.586621782,1.580357054,1.803483161,1.643856155
MK6_HQ_01_3,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.67,0.17,0.2783,0.0072,0.18788,3.593245,0.09296213,0.0933,0.0039,0.39868,1566,37,1590,34,1498,81,64,40.95,299,1.56,130600,188,645,Below LOD,452,Below LOD,11.99,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,2.57,36.48,14.62,72.9,15.91,160.5,32.75,10340,72,Below LOD,75.8,7.88,6.29,43.63,71.3,,,,,,,,,,,,
MK6_HQ_01_30,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.088,0.17,0.2902,0.0057,0.27406,3.445899,0.06768307,0.1031,0.0037,0.35803,1649,33,1642,29,1680,69,131.3,86.8,677,1.498,139600,194,675,9.7,512.4,Below LOD,11.01,0.0298,0.59,1.44,0.193,9.82,3.3,42.8,16.81,78.7,16.31,155.9,30.92,9880,47,Below LOD,140.8,15.84,12.35,81,127.5,,,,,,,,,,,,
MK6_HQ_01_31,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.649,0.15,0.2741,0.006,0.50824,3.648304,0.07986071,0.0975,0.0035,0.28318,1557,33,1561,31,1593,66,165.6,107.4,773,1.544,134100,285,662,Below LOD,878,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,70.7,Below LOD,137.2,Below LOD,300.1,Below LOD,10800,84,Below LOD,175.1,Below LOD,Below LOD,103.5,166.2,,,,,,,,,,,,
MK6_HQ_01_32,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.909,0.16,0.28,0.0064,0.54858,3.571429,0.08163265,0.1019,0.0033,0.32008,1615,33,1590,32,1661,61,315.5,363,2480,0.874,134200,274,646,6.4,883,0.058,51,0.197,2.86,5.83,1.6,25,6.49,73.7,27.3,129.7,28.31,286.5,57.8,9690,59,Below LOD,312,34.8,42.9,320,299.4,0.281562531,4.30E-05,0.001199068,1590,0.281773723,0.282094254,0.282020313,0.281526442,-8.775861609,1.504118061,2.815743301,2.657702947
MK6_HQ_01_33,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.64,0.21,0.2783,0.0074,0.14773,3.593245,0.09554442,0.0947,0.005,0.35867,1561,46,1581,37,1523,100,24.41,42.76,314,0.563,132100,291,655,13.9,880,Below LOD,31.95,0.114,2.22,4.27,1.61,22.04,7.04,84.2,30.78,136,26.35,244.8,47.97,7740,104,Below LOD,25.51,2.64,5.9,40.26,24.26,,,,,,,,,,,,
MK6_HQ_01_34,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.98,0.17,0.2916,0.006,0.13349,3.429355,0.07056287,0.0994,0.0039,0.39672,1629,34,1649,30,1613,74,91.4,72.1,553,1.246,138900,437,671,16.1,928,Below LOD,11.64,0.0229,0.8,1.98,0.299,14.98,5.58,75.9,30.12,144.9,30.96,298.5,59.71,10580,61,2,100.3,10.9,10.32,68,90.2,,,,,,,,,,,,
MK6_HQ_01_35,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.002,0.15,0.2939,0.0051,0.38296,3.402518,0.05904335,0.0989,0.0032,0.45297,1633,30,1663,26,1600,60,292.8,158,1232,1.842,137200,209,668,3.54,1631,Below LOD,23.08,0.101,2,5.13,0.306,32.06,11.38,147.1,55.55,254.1,49.73,444.8,80.9,8850,46,Below LOD,308.5,33.51,21.71,142.3,277.1,,,,,,,,,,,,
MK6_HQ_01_36,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,1.509,0.057,0.1299,0.0024,0.51083,7.698229,0.1422306,0.0857,0.0027,0.57029,933,23,787.4,14,1328,61,2131,1564,5150,1.349,142200,2676,937,282,14290,3.8,455,79.7,951,863,220.1,1930,318.6,1962,388,1119,176.7,1347,211.3,11250,25,3.5,858,79.9,80.7,1253,1781,,,,,,,,,,,,
MK6_HQ_01_37,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.83,0.16,0.2768,0.0058,0.12116,3.612717,0.07569999,0.1001,0.0038,0.42097,1595,35,1577,30,1632,72,112.2,90.7,672,1.232,135300,286,662,9.9,719,Below LOD,17.03,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,58.8,23.76,110.2,23.28,235.4,46.35,9670,38,Below LOD,113,12.33,12.08,82.2,108.2,0.281830771,2.54E-05,0.001271597,1577,0.281782113,0.282103843,0.282029752,0.281792817,0.379864459,0.889260046,2.252146511,2.092085873
MK6_HQ_01_38,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.289,0.13,0.2546,0.0047,0.30922,3.92773,0.07250719,0.094,0.0032,0.41042,1479,29,1462,24,1509,61,229.3,254.8,1697,0.887,137400,379,658,6.72,2429,0.47,44.24,0.371,4.69,7.9,3.55,48.3,16.83,209.2,78.6,368,74.9,716,142.5,7530,50,Below LOD,212.3,22.15,31.34,236.3,223.5,,,,,,,,,,,,
MK6_HQ_01_39,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,5.12,0.24,0.3411,0.0074,0.31074,2.931692,0.06360164,0.107,0.0042,0.20237,1838,38,1891,36,1753,79,55.6,24.08,197,2.284,139200,167,675,11.4,308.6,Below LOD,2.97,0.041,0.87,1.6,Below LOD,7.83,2.49,29.54,10.03,45.67,8.82,85.6,16.97,9200,41,Below LOD,71.6,8.55,3.65,22.93,55.3,,,,,,,,,,,,
MK6_HQ_01_4,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.102,0.11,0.1936,0.0046,0.070909,5.165289,0.122729,0.0777,0.0041,0.37367,1147,34,1140,25,1114,110,88.7,121.6,624,0.728,131800,209,637,19.3,884,0.37,23.8,0.212,2.63,4.63,0.859,21.91,7.22,84,30.98,136.5,28.58,271.6,52.7,9790,79,Below LOD,69.8,5.95,12.62,124.9,94.8,,,,,,,,,,,,
MK6_HQ_01_40,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.02,0.083,0.1937,0.0039,0.068931,5.162623,0.1039454,0.0746,0.0031,0.41953,1121,28,1141,21,1053,81,199.8,177.1,929,1.125,138600,210,662,10.4,677.3,0,24.18,0.037,0.99,2.31,0.218,12.33,4.71,58.7,22.31,109.6,23.76,234.1,46.82,10460,61,Below LOD,146.5,12.02,17.14,167.3,198.1,,,,,,,,,,,,
MK6_HQ_01_41,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.706,0.14,0.2732,0.0049,0.52149,3.660322,0.06564999,0.0991,0.0033,0.32539,1573,32,1557,25,1599,63,307,342.3,2250,0.875,141000,424,676,10.4,1159,0.542,49.1,1.337,13.38,15.72,4.38,49.3,12.13,114.1,36.93,159.9,32.82,311.3,61.51,10250,51,2.32,304.5,32.76,40.55,321.2,297.6,,,,,,,,,,,,
MK6_HQ_01_42,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.639,0.12,0.2247,0.0053,0.43696,4.450378,0.1049711,0.0869,0.0032,0.33587,1308,32,1306,28,1361,71,194.3,89.1,437,2.157,134700,227,657,5.8,617,0.111,6.66,0.194,1.48,2.49,0.8,14.1,3.96,47.2,19.13,98,22.68,237.3,51,9480,71,1.9,153.3,14.51,7.82,81.5,182.1,0.281699648,3.36E-05,0.001152,1306,0.28195656,0.282303211,0.282226005,0.281671244,-10.1191368,1.177097193,2.680034154,2.514046469
MK6_HQ_01_43,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,5.89,0.23,0.3512,0.0075,0.47832,2.84738,0.06080681,0.1207,0.0039,0.43118,1960,32,1939,36,1968,59,300,94.7,647,3.154,137500,880,663,10.3,1744,0.343,4.59,Below LOD,5.51,10.72,1.4,54.2,17.07,182.7,56.07,224.1,39.02,338.2,60.61,10660,33,Below LOD,396.9,52.7,11.96,88.3,296.3,0.281417091,2.73E-05,0.000613469,1939,0.281547708,0.281835952,0.281766047,0.2813945,-5.441634895,0.956342178,2.884523319,2.73590296
MK6_HQ_01_44,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.62,0.16,0.1958,0.0098,0.94152,5.107252,0.2556235,0.097,0.0032,0.11858,1293,47,1149,53,1567,63,690,738,2128,0.966,154900,1230,783,120,3240,2.57,81.8,11.2,125,119,33.8,324,60.9,424,95,321,55.1,475,86.2,9880,67,Below LOD,495,52.9,40.4,672,700,,,,,,,,,,,,
MK6_HQ_01_45,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.432,0.17,0.3053,0.0064,0.31447,3.275467,0.06866357,0.1058,0.0036,0.454,1722,33,1717,32,1733,62,163.8,164.1,1096,0.986,138300,262,670,8.9,787,Below LOD,14.67,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,6.26,67.4,24.64,116,25.9,258.9,57.29,8230,65,1.9,187.8,22.03,20.5,152.2,161.9,0.282163646,2.22E-05,0.000386936,1717,0.281691647,0.282000454,0.281927978,0.282151055,16.30890424,0.775342977,1.388396886,1.229538478
MK6_HQ_01_46,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.766,0.16,0.2714,0.0066,0.78262,3.684598,0.08960335,0.1015,0.0033,0.01469,1587,35,1547,33,1648,60,344.9,294.7,1782,1.169,142800,535,845,184,1441,0.84,42.36,1.05,8.7,10.8,3.62,45.1,12.8,132.7,46.3,215.1,45.98,448.2,87.4,10530,63,Below LOD,341.8,38,32.41,274,338,,,,,,,,,,,,
MK6_HQ_01_47,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.406,0.14,0.2679,0.0052,0.40756,3.732736,0.07245326,0.0933,0.0034,0.24869,1505,33,1529,27,1486,72,130.2,125.9,901,1.024,138300,287,701,18.2,897,Below LOD,37.85,Below LOD,Below LOD,2.24,0.592,15.5,5.5,73,29.29,142.2,31.42,307.7,63.8,10550,74,Below LOD,130.1,13.27,16.6,118.2,128.7,0.281862335,2.69E-05,0.001322188,1529,0.281813076,0.282139229,0.282064585,0.281824089,0.390807257,0.942160922,2.214000596,2.052540277
MK6_HQ_01_48,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.86,0.18,0.2806,0.0068,0.52817,3.563792,0.08636417,0.0995,0.004,0.31857,1599,37,1593,34,1603,74,69.7,72.4,533,0.97,137900,270,664,10.6,676,Below LOD,23.96,0.052,0.77,1.88,0.416,11.6,4.1,55.8,21.91,108,23.44,236.1,48.6,9830,31,Below LOD,74.3,8.06,10.09,69.2,70.4,,,,,,,,,,,,
MK6_HQ_01_49,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.629,0.17,0.3171,0.0058,0.63532,3.153579,0.05768136,0.1063,0.0033,0.20411,1753,31,1775,28,1740,57,323.5,164.3,1284,1.968,138000,181,677,6.7,681.8,Below LOD,12.77,Below LOD,Below LOD,2.02,0.303,13.82,4.68,58.8,22.34,105.1,21.51,204.1,40.4,10400,27,Below LOD,375.3,44.01,23.39,149.8,313.8,,,,,,,,,,,,
MK6_HQ_01_5,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.79,0.16,0.2821,0.0064,0.14109,3.544842,0.0804218,0.0968,0.0041,0.50763,1587,36,1601,32,1571,76,86.8,43.3,312,2.003,130800,678,635,14.5,1588,Below LOD,9.45,0.039,1.14,3.49,0.355,23.51,9.35,128.6,52.33,261.2,56.42,548.7,110.6,11700,85,Below LOD,100.9,10.62,6.35,43.71,93.2,,,,,,,,,,,,
