Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_abs,Pb207Pb206,Pb207Pb206_error_1s_abs,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U
50.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.41204,0.04922,0.10207,0.001,1662.14,18.17,1656.9,21.11,100,146.66
51.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.15834,0.07198,0.10819,0.00126,1769.24,21.38,1773.21,35.43,33.3,68.04
52.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.49163,0.07835,0.10011,0.00124,1626.15,23.29,1623.51,32.29,126.41,92.86
53.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.28713,0.05055,0.10174,0.00071,1656.19,12.97,1712.18,23.17,152.55,170.45
54.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.32364,0.06112,0.10302,0.00191,1679.2,34.59,1695.65,27.48,86.07,117.94
55.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.46819,0.09292,0.09971,0.00188,1618.67,35.55,1633.2,38.77,141.22,136.64
56.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.27591,0.0528,0.10504,0.00148,1714.95,26.19,1717.33,24.35,105.14,124.3
57.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,5.28437,0.25585,0.08171,0.00161,1238.63,39.03,1117.24,49.86,182.5,82.88
58.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,4.83451,0.09258,0.07911,0.00128,1174.85,32.38,1211.99,21.19,77.54,138.37
59.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.42258,0.1191,0.10132,0.00137,1648.43,25.2,1652.4,50.92,147.67,205.23
60.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,5.18164,0.1326,0.07788,0.00205,1143.75,53.31,1137.55,26.74,97.62,112.51
61.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.09448,0.02748,0.1071,0.00082,1750.65,14.16,1805.13,13.99,227.41,433.73
62.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,4.74237,0.08123,0.07935,0.00108,1180.76,27.08,1233.42,19.26,107.68,159.89
63.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.71633,0.06458,0.09331,0.0013,1494.16,26.59,1536.14,23.8,60.22,99.22
64.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.27128,0.06365,0.10541,0.00179,1721.45,31.49,1719.46,29.43,72.93,137.42
65.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.49479,0.09283,0.10021,0.00109,1627.94,20.42,1622.21,38.21,49.79,110.43
66.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.50587,0.08606,0.10148,0.00185,1651.36,34.12,1617.68,35.22,232.25,189.18
