Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
29.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,5.232718203,1.31953848,0.077086575,1.056536229,1123.430243,21.062709,,,196.0022264,156.2468343,0.28202,0.0000275,0.0011044,0.00000205,,-2.568151832,2.0614629
3.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.503064275,1.466299021,0.099248113,0.837614165,1610.03164,15.60890141,,,94.1989531,104.7559229,0.281922,0.00002475,0.000935,0.000005,,4.738651312,1.969860489
30.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.253293253,1.212814352,0.107646707,0.48209704,1759.959921,8.814412938,,,122.9264941,245.7297338,0.28162,0.000025,0.0007351,0.0000017,,-2.439613664,2.543521789
31.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.229364465,1.281406229,0.105655826,0.580232268,1725.755914,10.65409564,,,156.7602178,180.9886754,0.28174,0.000025,0.0004063,0.0000021,,1.866996208,2.257149537
32.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.230857127,1.135452684,0.106750563,0.384909015,1744.66091,7.050904705,,,231.0022446,403.0201494,0.28173,0.000025,0.00059227,0.000000465,,2.211283792,2.266706915
33.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.147531684,1.506775457,0.109180121,0.850623673,1785.779383,15.50270454,,,69.74445222,97.22307292,0.28172,0.000035,0.0009502,0.00000195,,0.045631158,2.356995792
34.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.242371194,1.676734034,0.105510498,0.97461728,1723.228144,17.90138721,,,38.69398641,65.34311719,0.28159,0.0000275,0.0003702,0.0000006,,-8.621833833,2.744494826
35.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.679458136,1.769164643,0.094199993,1.516094278,1512.127371,28.61836191,,,52.88292498,55.51141667,0.28196,0.0000275,0.0010523,0.00000165,,8.455436819,1.818131323
36.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.272321516,1.178672214,0.10553168,0.439379112,1723.59684,8.069969087,,,123.6152016,312.4038349,0.28175,0.00003,0.0004047,0.00000345,,1.434834226,2.257746079
37.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.301297384,1.155791214,0.10472434,0.419306476,1709.47934,7.714996768,,,319.3355487,364.7099236,0.28156,0.0000275,0.00026921,0.000000485,,-16.96865528,3.012973861
38.1.1,Kositcin et al 2014,IC12JAW1801,-23.7715,135.5461,Heavitree,3.282615267,1.247950019,0.107149545,0.565049513,1751.491745,10.34196831,,,342.1298907,216.5219838,,,,,,,
39.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,4.991855458,1.406873468,0.079358668,1.109468121,1181.095208,21.93168385,,,93.22309963,121.9274312,0.28211,0.0000275,0.000633,0.0000011,,2.245356904,1.799330995
4.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.244321398,1.239409996,0.106336794,0.543294639,1737.543674,9.961128215,,,111.7929454,224.0462002,0.281718,0.00001925,0.00068877,0.00000047,,0.596013474,2.332874027
40.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.233462639,1.426161269,0.106803644,1.204353802,1745.571497,22.05928732,,,69.37580105,113.4847933,0.28167,0.0000275,0.000744,0.0000095,,-0.89006828,2.437430338
41.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.265363983,1.333764485,0.107078245,0.654780623,1750.273334,11.98611586,,,115.411981,150.777605,0.28165,0.0000275,0.000523,0.00000215,,-1.339776624,2.466078431
42.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.232437495,1.235860537,0.105751995,1.006534087,1727.426287,18.47788043,,,147.0636598,278.4898159,0.28172,0.0000275,0.0005677,0.0000006,,0.582793268,2.325945523
43.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.310731281,1.212450608,0.107378381,0.50628003,1755.395504,9.261819853,,,128.3336046,245.511337,0.281696,0.00002375,0.001028,0.0000018,,-0.188825051,2.396662882
44.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.607415823,1.467591526,0.097723986,0.941524285,1581.138209,17.6114003,,,96.90087004,103.037195,0.28199,0.0000325,0.0009379,0.00000085,,6.512844176,1.833763293
45.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.2365424,1.92154003,0.106677491,0.660627799,1743.406462,12.10351872,,,181.0325376,154.4192915,0.28178,0.000025,0.0004103,0.000001,,3.254236714,2.167427396
46.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.590318421,1.60404986,0.097537059,1.210849137,1577.556003,22.65979116,,,53.53168155,75.50285651,0.28192,0.00003,0.00072,0.00000125,,4.180707119,1.980673232
47.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.246397398,1.33235099,0.109143622,0.636188569,1785.169985,11.59547462,,,78.42419221,151.598462,0.281679,0.00002425,0.0010352,0.00000205,,-0.145491451,2.416769392
48.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.604691039,1.554415588,0.099027376,1.044459592,1605.88132,19.47394217,,,103.8864253,83.23498898,0.28194,0.0000325,0.0007509,0.0000013,,5.484755545,1.918802051
49.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.505859995,1.45697919,0.09794126,0.832959313,1585.291259,15.57221781,,,88.27899686,104.1868572,0.28162,0.00003,0.0005314,0.0000023,,-6.093870615,2.641057357
5.1.1,Kositcin et al 2014,IC12JAW1801,-23.7715,135.5461,Heavitree,3.80945822,1.246716827,0.094323786,0.640219677,1514.605965,12.08103612,,,178.4108828,215.1428102,,,,,,,
50.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.35469205,1.876355694,0.107057179,1.143994314,1749.913155,20.94237927,,,42.33645172,46.17870386,0.28159,0.00003,0.0004691,0.000004,,-3.414492898,2.597770882
51.1.1,Kositcin et al 2014,IC12JAW1801,-23.7715,135.5461,Heavitree,4.037342107,1.139229461,0.104023325,0.541234279,1697.111878,9.973970188,,,534.373379,389.7210075,,,,,,,
52.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.434922816,1.619512669,0.10410282,1.796528842,1698.5195,33.10088537,,,110.8774453,69.89664667,0.28161,0.0000275,0.00064,0.0000006,,-4.049437924,2.598578993
53.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.219074581,1.194341175,0.106467862,0.483942481,1739.80185,8.870420156,,,85.35117688,286.7470652,0.28168,0.00003,0.0007572,0.00000105,,-0.782954311,2.42255896
54.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.286221921,1.856203531,0.106583228,1.253360811,1741.786677,22.96776856,,,34.41589511,49.31984986,0.281596,0.00002475,0.0004375,0.00000065,,-3.346318773,2.587193099
55.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.6108847,1.275423295,0.096720768,0.669718483,1561.812071,12.55899717,,,138.743605,192.1171492,0.282,0.00003,0.000925,0.00000065,,6.456032341,1.822565791
56.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,5.694292611,1.103200844,0.074307076,0.520149044,1049.819433,10.48395608,,,106.0887746,582.8438957,0.28232,0.0000225,0.00107255,0.000000455,,6.494710424,1.425997101
57.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.72131709,1.651399346,0.098363371,1.863052839,1593.327005,34.7933789,,,98.2532439,70.1259542,0.28165,0.0000275,0.0004509,0.00000175,,-4.764133097,2.562993258
58.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.21442768,1.418826649,0.107126421,0.733129406,1751.096708,13.41895569,,,67.64110817,116.8073504,0.28169,0.00003,0.000515,0.0000005,,0.10815771,2.374417385
59.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.478840195,1.233726502,0.106859529,0.578472837,1746.529587,10.59420628,,,260.4609916,227.9384713,0.28173,0.000025,0.0008752,0.00000075,,1.002733913,2.313808236
