Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_abs,Pb207Pb206,Pb207Pb206_error_1s_abs,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error,Yb176Hf177,epsilon_Hf,TDM
41.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.073,0.015,0.115,0.00101,1880,16,1816,10,59,245,0.281451,0.000013,0.00136,,0.056055,-6.6,3
47.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.024,0.015,0.11502,0.00175,1880,27,1841,11,55,224,,,,,,,
9.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.962,0.013,0.11505,0.0009,1881,14,1875,10,108,269,0.281503,0.000015,0.000562,,0.025332,-3.7,2.8
24.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.999,0.016,0.11505,0.00115,1881,18,1855,11,47,165,,,,,,,
35.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.931,0.015,0.1153,0.0008,1885,12,1892,11,45,336,0.281579,0.000012,0.000526,,0.026862,-0.9,2.6
51.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.001,0.012,0.11544,0.0008,1887,13,1854,9,97,362,,,,,,,
7.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.009,0.011,0.1155,0.00071,1888,11,1850,8,228,397,0.281497,0.000015,0.001322,,0.069275,-4.7,2.9
34.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.996,0.01,0.11605,0.00065,1896,10,1857,7,86,536,,,,,,,
44.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.951,0.015,0.11664,0.00105,1905,16,1881,11,49,195,0.281575,0.000012,0.000411,,0.020103,-0.4,2.6
38.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.994,0.044,0.11668,0.00207,1906,32,1858,31,46,51,,,,,,,
52.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.983,0.017,0.11733,0.00122,1916,19,1864,12,49,173,0.281679,0.000009,0.000744,,0.0339,3.1,2.4
27.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.868,0.013,0.11992,0.00093,1955,14,1928,10,80,226,,,,,,,
33.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,2.785,0.013,0.12557,0.00098,2037,14,1978,11,116,221,0.281646,0.000016,0.000115,,0.006261,5.5,2.3
64.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,2.708,0.031,0.12609,0.00081,2044,11,2026,27,97,148,,,,,,,
